"","a","p","f_m","f_p","mosq_m","N_init","beta_min_m"
"140",0.581362397049549,0.224336032204348,0.968964424342877,0.895345115360884,3.76667430819514,137846.827127905,0.927484965277658
"141",0.685376343844488,0.280592408539979,0.979946463011788,0.919022691379782,4.44576775471781,137706.638189505,0.950195854099076
"142",0.618049458569365,0.266629023816486,0.976197550375447,0.905839157047784,4.04418164593247,124557.924917122,0.939481172673392
"143",0.658252428413086,0.279159002056887,0.966910955524467,0.918495561731104,4.49674387095195,136490.060855283,0.940621481212576
"144",0.642070225676175,0.295391167218806,0.963547457251931,0.910275279121458,4.34983799743621,125936.877061149,0.942365451513898
"145",0.685832985033195,0.299120721971732,0.975768553192891,0.920385695890527,4.44257186355286,129342.802453048,0.959239570881057
"146",0.659718729403059,0.291136958822159,0.967216122656147,0.916039790634753,4.33432175411453,124622.088399441,0.942998460552666
"147",0.659949568417158,0.275115018855646,0.972481904386115,0.922436001427764,4.43916737368361,136675.132511237,0.931478450934684
"148",0.570356236479068,0.237527450026382,0.971100808348498,0.902879872210215,3.97959561224301,147190.879493058,0.920788889117542
"149",0.647799872051335,0.299433059681824,0.972216835671115,0.919421138046103,4.41918315894326,126323.234015704,0.940666646663987
"150",0.59203715421235,0.27787102855933,0.968474106831028,0.903046141637556,4.11078150538482,119633.140504797,0.894735033851724
"151",0.618049458569365,0.266629023816486,0.976197550375447,0.905839157047784,4.04418164593247,124557.924917122,0.939481172673392
"152",0.675061585962932,0.299297880597196,0.978621146718321,0.918750884983635,4.37540804344828,124445.145964147,0.966344131157782
"153",0.6139735975285,0.2294648062578,0.975919580651833,0.906941445337422,4.03155956406927,149173.496530389,0.944520813976869
"154",0.626377431967165,0.247453333891407,0.95069516205857,0.900209381519885,4.0350173440854,135255.10328906,0.914480052881084
"155",0.665770391166737,0.245402516067982,0.973328087828142,0.911140076967923,4.3450988937183,143375.732661868,0.920007969484522
"156",0.656970280388384,0.241489584923443,0.967895216464354,0.912029578662021,4.15250416865963,142546.684210805,0.936946317014271
