"","a","p","f_m","f_p","mosq_m","N_init","beta_min_m"
"1",0.261862082631732,0.143077077349792,0.963540608528062,0.87730406942333,2.39179522066471,366821.253578218,0.980064318850537
"2",0.303003383823929,0.14340256456229,0.962672742545772,0.874910156899564,2.39656472090769,369585.511190914,0.953151142083434
"3",0.316507663855538,0.146427726845894,0.960762502643276,0.870713263458999,2.33372321018927,359648.178488491,0.963754657052976
"4",0.296201903603431,0.146533716345343,0.965040235528448,0.881498048819961,2.43765243866868,356689.978677548,0.975056103529842
"5",0.300279519552955,0.144313805743006,0.963713753682347,0.879113217174396,2.44638959184448,357527.30483255,0.956820398266366
"6",0.306163917211641,0.136224986309695,0.961435864427254,0.8789216552513,2.39930735969746,370770.050859401,0.975657007837568
"7",0.300574488040761,0.148178063568752,0.964008960453993,0.872086008911188,2.38652924890334,352889.518472819,0.960912203417037
"8",0.315043482304539,0.156931332729454,0.965743497111367,0.878128693027523,2.46379186743899,323159.311008759,0.966040235496906
"9",0.287807995901738,0.168801266832553,0.966034970464372,0.886347642039861,2.51373337930551,309452.401471905,0.979987478580219
"10",0.306163917211641,0.136224986309695,0.961435864427254,0.8789216552513,2.39930735969746,370770.050859401,0.975657007837568
"11",0.299958070115703,0.159291792752835,0.962785607647487,0.878461923462185,2.4520370615674,330517.71403221,0.960472334886267
"12",0.314287952801947,0.160707435201802,0.96499657986692,0.880997757676948,2.4459602334077,322796.139277439,0.964537042905271
"13",0.290374001242734,0.158139822980173,0.965020639342606,0.879786559684788,2.38631247370193,336374.046073246,0.972103882323041
"14",0.312769364013169,0.155114483275247,0.960920046461532,0.86666822626382,2.34609775866807,342014.600223951,0.957533100231217
"15",0.295089690300098,0.162993332639638,0.962377646581836,0.873697196556321,2.37033953793987,319991.009391241,0.968541558169876
"16",0.324537172364595,0.162763416082201,0.960283466706319,0.871217226784305,2.32605812631858,315057.770641124,0.951840294142518
"17",0.301865778772033,0.150947503288356,0.963084228135294,0.878514611014438,2.35278350794949,349019.214344334,0.969178511351282
"18",0.305878605478783,0.142640849069315,0.962283546249221,0.865567086832075,2.32730580549462,374139.487988593,0.953950404859895
"19",0.292880340613936,0.157681213710399,0.964640005354464,0.884182698037542,2.51617437013905,323494.903906555,0.949729060944825
"20",0.331198443182126,0.142362408270433,0.963329792244225,0.868175605368992,2.33804345613121,376000.072979728,0.927068833464071
"21",0.290374001242734,0.158139822980173,0.965020639342606,0.879786559684788,2.38631247370193,336374.046073246,0.972103882323041
"22",0.321551560015998,0.162875726076787,0.962835213128667,0.870779014332758,2.404572444386,313684.596990922,0.949985572342296
"23",0.328244258327171,0.160719937156058,0.963080908540468,0.876378160519307,2.34058319433476,319057.307407961,0.980808287254462
"24",0.320947378874279,0.153265372394734,0.961781944235539,0.871249461983912,2.39350812909515,342159.966151224,0.946911651154855
"25",0.320082810571912,0.168535026237062,0.965087334154013,0.886857851125691,2.43268610991751,302141.430514842,0.988111170643281
"26",0.307854080613241,0.152940775779937,0.961232675883218,0.866299175891173,2.28950648387444,341037.603165061,0.966255490470975
"27",0.301723696226938,0.159599602552396,0.965245445266296,0.875659863521018,2.42424192283818,325436.289441668,0.966007350451451
"28",0.313975521750218,0.154583588175241,0.962751244414139,0.86150371436021,2.31694890438591,354597.007955089,0.938662138281141
