"","a","p","f_m","f_p","mosq_m","N_init","beta_min_m"
"1",0.605264149321789,0.238819640825201,0.972187183024886,0.957774533583381,3.97476680278572,136717.080219379,0.933405611522564
"2",0.598867719506453,0.216966189925891,0.970283287791397,0.950993909953674,3.80310007112583,147522.894357308,0.917196676492432
"3",0.672588932699312,0.285993183446819,0.960488535443598,0.957130218311865,4.25227203027695,123271.529660882,0.955111071366297
"4",0.618902145446964,0.242481376282346,0.984424568799551,0.960906191710525,4.01193573355893,133732.399160731,0.935803597110437
"5",0.576991040207469,0.213717188905578,0.964115507364919,0.945254662317094,3.93342523955249,152214.055296409,0.867816378905791
"6",0.576969539159004,0.207266485093159,0.969987990905399,0.941384470175843,3.83694139870272,155929.994490955,0.88692357356088
"7",0.55693165587778,0.242543131385593,0.963246230183129,0.94848184474681,3.86029436988986,131514.950529969,0.885001702669365
"8",0.562686229707606,0.22137654905717,0.974622314608254,0.94739511063974,3.91238732611046,146181.04401949,0.912959552582491
"9",0.6205541447348,0.239369054834179,0.964637826487468,0.930045155993939,4.1919839507621,138500.011424421,0.769073348400245
"10",0.560947518408349,0.218425500626729,0.973592108727207,0.955088395483075,3.68127689936871,139115.411213429,0.9434215309388
"11",0.57796935183662,0.207340534709182,0.952434123183074,0.944344105251042,3.87724286745614,147347.325035332,0.861701360237969
"12",0.572377211766588,0.250936947854063,0.967641110525136,0.94501233956651,4.07136895666787,134067.810446498,0.855371502659036
"13",0.584961925051814,0.204893640218802,0.968994195910527,0.934856669223907,3.75377021052448,154500.677686795,0.877804327635861
"14",0.609420172840398,0.26031494658983,0.966440266841246,0.959502441822492,4.10306754201042,138424.631161945,0.941651202351815
"15",0.561323906938484,0.242666012059207,0.979361331776292,0.950850233770784,3.80532713441038,133676.489791903,0.886956362126108
"16",0.594172030959678,0.240992738076833,0.972585699011022,0.927241903685664,4.2793311070834,142167.962668629,0.764223876859063
"17",0.592673804514713,0.261982356226451,0.972652085879407,0.962894170748596,3.95324569402691,129210.869647064,0.946242486939413
"18",0.583831516567422,0.237664356226259,0.979205970774974,0.950155628189586,4.03417712503337,134820.624595436,0.88442442556606
"19",0.632432586122517,0.265781521003466,0.962830488176864,0.961837512755419,4.27163451626483,138122.885956388,0.946566996901974
"20",0.63754666752226,0.212685191267686,0.96478296246543,0.954443664776347,4.05756376697404,155873.05277746,0.91631158193778
