"","a","p","f_m","f_p","mosq_m","N_init","beta_min_m"
"1",0.336925111046537,0.159574277894143,0.941979479518493,0.925913481369467,2.64482767421347,338844.845868233,0.817906946135276
"2",0.354711625312332,0.149952665152159,0.94506544822713,0.925856134941446,2.91743662643818,372881.003768984,0.764097363337028
"3",0.341471754417658,0.162586591156129,0.94360985103541,0.92686652270793,2.72791011196791,342782.265444171,0.806945143394592
"4",0.357349887887971,0.169696439183928,0.943730646493351,0.931404132733736,2.73061993933399,321227.25331772,0.814685076902433
"5",0.322308218895357,0.160237709628167,0.94237136897539,0.929251067552681,2.5847077188657,350649.297686784,0.836563952863157
"6",0.358043382186547,0.148265674492847,0.946447297359797,0.931187334013642,2.80132070211448,358616.564466787,0.803388150921119
"7",0.370945910796003,0.143337414776644,0.943343503677344,0.928461540388419,2.80455143182247,389525.218853766,0.778852684186249
"8",0.35613321055199,0.143667940199948,0.9435498381759,0.929313342954505,2.804375774765,388550.792713371,0.788049907528463
"9",0.364521640435936,0.150292597523951,0.941691261640695,0.931080375093748,2.58851074349923,360847.833118742,0.832490768429649
"10",0.351298741651076,0.161463996651547,0.943965851813992,0.925879515421191,2.77246034752742,350303.656637645,0.795190158970826
"11",0.348409615955996,0.163142681831637,0.943269436239664,0.935758171462526,2.80083193798743,345909.941164976,0.79984521082697
"12",0.365419252751807,0.162250835645762,0.945033335090566,0.929664219488596,2.89267726103307,341246.014583821,0.766331365042619
"13",0.343049464592212,0.160706517792303,0.941884109612784,0.933822838611556,2.68575086899119,342651.147277904,0.814764495698231
"14",0.325131498851244,0.170716654519663,0.944116326719677,0.923587882591758,2.69842631811318,334667.222412814,0.805693257060793
"15",0.367776672505215,0.165471678676608,0.944196269883892,0.926281257098147,2.83650822488259,332276.709563295,0.770439012354501
"16",0.346394580032559,0.170341436330688,0.942777790255273,0.927110777173194,2.80343259136008,329417.942024507,0.790791505453543
"17",0.35524190869357,0.165354585245966,0.943043815604281,0.925632454510931,2.7558492257921,338721.288599832,0.79178984546178
"18",0.358191948698573,0.160764041286747,0.943770432298503,0.93214294339323,2.86510849945552,352814.272526498,0.776461114049875
"19",0.344860548525214,0.170558624014694,0.943993782137752,0.932390909645983,2.83882242909648,337443.224724499,0.794111125962664
"20",0.332392853321825,0.143055218339252,0.944118353236389,0.926469860483113,2.73234918979521,381122.671787685,0.815684388611775
"21",0.382538814527691,0.175139256632247,0.945273225135935,0.928886161704854,2.91828171955494,329887.889750974,0.761387131871754
"22",0.333352562949875,0.16158425661462,0.944833572008965,0.930999449077978,2.74873350405457,347995.542205041,0.808825616039402
"23",0.36092985008902,0.143349522954149,0.943962717963383,0.933240145699562,2.84383596064899,384428.808094241,0.799505784153853
"24",0.340081230854929,0.154904869287033,0.942420218848798,0.928759653222716,2.67415056817103,350128.597648548,0.814335587163467
"25",0.341724055991501,0.156456968822622,0.944171857084924,0.930163065931843,2.71873049977452,350985.558488217,0.819552909270892
"26",0.375962448707473,0.175145197940207,0.943252000209577,0.924285489536099,2.9568617339536,316365.674599393,0.749922337602037
"27",0.343547833490112,0.179689748681381,0.943500911917734,0.92680229592676,2.79341697227133,313392.803166136,0.779791319229202
"28",0.376133909960555,0.147705306855278,0.941622152909004,0.928144807534813,2.71166642174061,368990.015431435,0.804481245647646
"29",0.36449282287478,0.156462561482045,0.944096069268171,0.930738740449772,2.79251691883404,347296.909824206,0.801447894919701
"30",0.332281716269953,0.163383111220578,0.941543679156028,0.92879208236231,2.67224249709501,347977.166964242,0.818650801149652
"31",0.366403411505171,0.15724512767248,0.942782555553871,0.931724655669507,2.729137392914,361133.098471475,0.797218746857596
"32",0.356010931041897,0.149163728626584,0.944617910104045,0.930925122455089,2.92743348340397,377705.377114813,0.76850835953152
